Level,latBlock,lngBlock,month,day,hour,quarter,count
0,0,18,4,25,11,0,4
0,0,18,4,25,11,1,6
0,0,18,4,25,11,3,15
0,0,18,4,25,12,1,21
0,0,18,4,25,12,2,21
0,0,18,4,25,12,3,68
0,0,18,4,25,13,0,3
0,0,18,4,25,13,1,43
0,0,18,4,25,13,2,30
0,0,18,4,25,13,3,37
0,0,18,4,26,11,0,2
0,0,18,4,26,11,1,62
0,0,18,4,26,11,2,11
0,0,18,4,26,11,3,63
0,0,18,4,26,12,0,47
0,0,18,4,26,12,1,55
0,0,18,4,26,13,0,6
0,0,18,4,26,13,1,2
0,0,18,4,26,13,2,80
0,0,18,4,26,13,3,7
0,0,18,4,27,11,0,183
0,0,18,4,27,11,1,67
0,0,18,4,27,11,2,25
0,0,18,4,27,11,3,10
0,0,18,4,27,12,0,15
0,0,18,4,27,12,1,38
0,0,18,4,27,12,2,28
0,0,18,4,27,12,3,2
0,0,18,4,27,13,0,10
0,0,18,4,27,13,1,39
0,0,18,4,27,13,2,205
0,0,18,4,27,13,3,48
0,1,17,4,26,13,1,1
0,1,17,4,26,13,2,3
0,1,17,4,26,13,3,1
0,1,17,4,27,11,0,1
0,1,17,4,27,11,2,1
0,1,17,4,27,13,1,2
0,1,17,4,27,13,3,4
0,1,18,4,25,11,0,22
0,1,18,4,25,11,1,28
0,1,18,4,25,11,3,2
0,1,18,4,25,12,0,2
0,1,18,4,25,12,1,25
0,1,18,4,25,12,2,40
0,1,18,4,25,12,3,41
0,1,18,4,25,13,0,5
0,1,18,4,25,13,1,75
0,1,18,4,25,13,2,67
0,1,18,4,25,13,3,58
0,1,18,4,26,11,0,3
0,1,18,4,26,11,1,187
0,1,18,4,26,11,2,20
0,1,18,4,26,11,3,97
0,1,18,4,26,12,0,75
0,1,18,4,26,12,1,15
0,1,18,4,26,13,0,8
0,1,18,4,26,13,1,1
0,1,18,4,26,13,2,87
0,1,18,4,26,13,3,38
0,1,18,4,27,11,0,188
0,1,18,4,27,11,1,100
0,1,18,4,27,11,2,6
0,1,18,4,27,11,3,22
0,1,18,4,27,12,0,64
0,1,18,4,27,12,1,58
0,1,18,4,27,12,2,43
0,1,18,4,27,12,3,84
0,1,18,4,27,13,0,49
0,1,18,4,27,13,1,121
0,1,18,4,27,13,2,297
0,1,18,4,27,13,3,93
0,1,19,4,25,11,0,7
0,1,19,4,25,11,1,1
0,1,19,4,25,11,2,6
0,1,19,4,25,11,3,5
0,1,19,4,25,12,0,3
